,Mode Coeff,Statistic,Mechanism,MUF,cbe10hr180306
989,2,3,4,1,50
990,3,3,4,1,35
991,4,3,4,1,35
992,5,3,4,1,7.5
993,6,3,4,1,7.5
994,7,3,4,1,15
995,8,3,4,1,15
996,9,3,4,1,7.5
997,10,3,4,1,0
998,11,3,4,1,0
999,12,3,4,1,0
1000,13,3,4,1,0
1001,14,3,4,1,0
1002,15,3,4,1,0
1003,16,3,4,1,0
1004,17,3,4,1,0
1005,18,3,4,1,0
1006,19,3,4,1,0
1007,20,3,4,1,0
1008,0,0,5,1,0
1009,1,0,5,1,0
1010,2,0,5,1,0
1011,3,0,5,1,0
1012,4,0,5,1,0
1013,5,0,5,1,0
1014,6,0,5,1,0
1015,7,0,5,1,0
1016,8,0,5,1,0
1017,9,0,5,1,0
1018,10,0,5,1,0
1019,11,0,5,1,0
1020,12,0,5,1,0
1021,13,0,5,1,0
1022,14,0,5,1,0
1023,15,0,5,1,0
1024,16,0,5,1,0
1025,17,0,5,1,0
1026,18,0,5,1,0
1027,19,0,5,1,2.5
1028,20,0,5,1,0
1029,0,1,5,1,0
1030,1,1,5,1,0
1031,2,1,5,1,0
1032,3,1,5,1,0
1033,4,1,5,1,0
1034,5,1,5,1,0
1035,6,1,5,1,0
1036,7,1,5,1,0
1037,8,1,5,1,0
1038,9,1,5,1,0
1039,10,1,5,1,0
1040,11,1,5,1,0
1041,12,1,5,1,0
1042,13,1,5,1,0
1043,14,1,5,1,0
1044,15,1,5,1,0
1045,16,1,5,1,0
1046,17,1,5,1,0
1047,18,1,5,1,0
1048,19,1,5,1,2.5
1049,20,1,5,1,0
1050,0,2,5,1,0
1051,1,2,5,1,0
1052,2,2,5,1,0
1053,3,2,5,1,0
1054,4,2,5,1,0
1055,5,2,5,1,0
1056,6,2,5,1,0
1057,7,2,5,1,0
1058,8,2,5,1,0
1059,9,2,5,1,0
1060,10,2,5,1,0
1061,11,2,5,1,0
1062,12,2,5,1,0
1063,13,2,5,1,0
1064,14,2,5,1,0
1065,15,2,5,1,0
1066,16,2,5,1,0
1067,17,2,5,1,0
1068,18,2,5,1,0
1069,19,2,5,1,2.5
1070,20,2,5,1,0
1071,0,3,5,1,0
1072,1,3,5,1,0
1073,2,3,5,1,0
1074,3,3,5,1,0
1075,4,3,5,1,0
1076,5,3,5,1,0
1077,6,3,5,1,0
1078,7,3,5,1,0
1079,8,3,5,1,0
1080,9,3,5,1,0
1081,10,3,5,1,0
1082,11,3,5,1,0
1083,12,3,5,1,0
1084,13,3,5,1,0
1085,14,3,5,1,0
1086,15,3,5,1,0
1087,16,3,5,1,0
1088,17,3,5,1,0
1089,18,3,5,1,0
1090,19,3,5,1,2.5
1091,20,3,5,1,0
1092,0,0,6,1,0
1093,1,0,6,1,0
1094,2,0,6,1,0
1095,3,0,6,1,0
1096,4,0,6,1,0
1097,5,0,6,1,0
1098,6,0,6,1,0
1099,7,0,6,1,0
1100,8,0,6,1,0
1101,9,0,6,1,0
1102,10,0,6,1,0
1103,11,0,6,1,0
1104,12,0,6,1,0
1105,13,0,6,1,0
1106,14,0,6,1,0
1107,15,0,6,1,0
1108,16,0,6,1,0
1109,17,0,6,1,0
1110,18,0,6,1,0
1111,19,0,6,1,0
1112,20,0,6,1,3
1113,0,1,6,1,0
